"Time","damper.phi_rel","damper.w_rel","force_inWorld.force[1]","force_inWorld.force[2]","force_inFrameA.force[1]","force_inFrameA.force[2]","force_inFrameResolve.force[1]","force_inFrameResolve.force[2]"
2.2385999999999999,0.46369224996228797,-0.43412392550441492,-0.022614620306178997,-0.0056549170981254259,-0.028269537404304417,0,-0.027488557560665556,-0.00078097984363886287
2.2391999999999999,0.46343105230583315,-0.43653569894779892,-0.022872561304271101,-0.0057119511641053958,-0.028584512468376493,0,-0.027797276631584572,-0.00078723583679192563
2.2397999999999998,0.46316840786878105,-0.43894656795981207,-0.023131966316163096,-0.0057691471123915922,-0.028901113428554694,0,-0.028107640794166264,-0.00079347263438842876
2.2403999999999997,0.46290431719554592,-0.44135652808064413,-0.02339283528865603,-0.0058265024432540332,-0.029219337731910069,1.1555579666323415e-34,-0.028419648242133087,-0.00079968948977698104
2.2409999999999997,0.46263878083321291,-0.44376557484926482,-0.023655168164299249,-0.0058840146488955145,-0.029539182813194759,0,-0.028733297156314931,-0.00080588565687983069
2.2415999999999996,0.4623717993315386,-0.44617370380342442,-0.023918964881308201,-0.0059416812135416833,-0.029860646094849883,0,-0.029048585704585021,-0.00081206039026486315
2.2422,0.46210337324295042,-0.44858091047965509,-0.024184225373481933,-0.0059994996135315113,-0.030183724987013438,0,-0.029365512041795629,-0.00081821294521781647
2.2427999999999999,0.46183350312254801,-0.45098719041326385,-0.024450949570119462,-0.0060574673174079623,-0.030508416887527427,-1.1555579666323415e-34,-0.029684074309712746,-0.00082434257781467473
2.2433999999999998,0.46156218952810107,-0.45339253913834365,-0.024719137395937719,-0.006115581786009453,-0.030834719181947173,0,-0.030004270636952862,-0.0008304485449943112
2.2439999999999998,0.46128943302005121,-0.45579695218776572,-0.024988788770987161,-0.0061738404725612955,-0.031162629243548449,0,-0.030326099138917151,-0.00083653010463130269
2.2445999999999997,0.46101523416151108,-0.45820042509318143,-0.025259903610568124,-0.0062322408227676986,-0.031492144433335825,1.1555579666323415e-34,-0.030649557917726885,-0.00084258651560893715
2.2451999999999996,0.46073959351826438,-0.46060295338502283,-0.025532481825146676,-0.0062907802749041499,-0.031823262100050827,0,-0.030974645062158385,-0.00084861703789244187
2.2458,0.46046251165876634,-0.46300453259250346,-0.025806523320270214,-0.0063494562599101757,-0.032155979580180391,1.1555579666323415e-34,-0.031301358647578006,-0.00085462093260238621
2.2464,0.46018398915414349,-0.46540515824361234,-0.026082027996481974,-0.0064082662014822963,-0.032490294197964266,0,-0.031629696735876005,-0.00086059746208826387
2.2469999999999999,0.45990402657819318,-0.46780482586512384,-0.026358995749237068,-0.0064672075161677613,-0.032826203265404835,-1.1555579666323415e-34,-0.031959657375402531,-0.00086654589000229791
2.2475999999999998,0.45962262450738439,-0.47020353098259077,-0.026637426468816183,-0.0065262776134582387,-0.033163704082274419,-1.1555579666323415e-34,-0.03229123860090103,-0.00087246548137339265
2.2481999999999998,0.45933978352085719,-0.47260126912034639,-0.026917320040240209,-0.0065854738958841053,-0.033502793936124306,1.1555579666323415e-34,-0.03262443843344303,-0.00087835550268128217
2.2487999999999997,0.45905550420042257,-0.47499803580150418,-0.027198676343184052,-0.0066447937591090044,-0.03384347010229305,0,-0.032959254880362207,-0.00088421522193084885
2.2493999999999996,0.45876978713056332,-0.4773938265479577,-0.027481495251890378,-0.0067042345920248509,-0.034185729843915227,0,-0.033295685935188606,-0.00089004390872662366
2.25,0.458482632898433,-0.47978863688038298,-0.027765776635083207,-0.0067637937768471931,-0.034529570411930395,0,-0.033633729577582941,-0.00089584083434745708
2.2505999999999999,0.45819404209385667,-0.48218246231823048,-0.028051520355880058,-0.0068234686892106973,-0.034874989045090746,-1.1555579666323415e-34,-0.033973383773269424,-0.00090160527182132715
2.2511999999999999,0.4579040153093305,-0.48457529837973673,-0.028338726271706107,-0.0068832566982655235,-0.035221982969971623,0,-0.034314646473971248,-0.0009073364960003749
2.2517999999999998,0.45761255314002203,-0.48696714058191642,-0.028627394234205687,-0.0069431551667735094,-0.035570549400979201,0,-0.034657515617343149,-0.00091303378363604228
2.2523999999999997,0.45731965618376974,-0.48935798444056472,-0.028917524089154788,-0.0070031614512050065,-0.035920685540359792,0,-0.035001989126905407,-0.00091869641345438801
2.2529999999999997,0.45702532504108351,-0.49174782547025697,-0.029209115676372951,-0.0070632729018359937,-0.036272388578208956,0,-0.035348064911977388,-0.00092432366623156526
2.2535999999999996,0.45672956031514472,-0.49413665918434885,-0.029502168829634828,-0.0071234868628455659,-0.036625655692480392,0,-0.035695740867610952,-0.00092991482486944445
2.2542,0.45643236261180509,-0.4965244810949781,-0.029796683376581801,-0.0071838006724137832,-0.036980484048995579,0,-0.036045014874524203,-0.00093546917447137948
