"Time","bodyFront.frame_a.phi","bodyFront.r[1]","bodyFront.r[2]","bodyFront.w","idealWheelFront.phi_roll","idealWheelFront.v_long","idealWheelRear.phi_roll","idealWheelRear.v_long","revolute.phi","revolute.w"
5.3195999999999994,-0.89718830599361787,4.6329218884109178,6.7930134987495743,-0.042510709358867554,26.177847778369049,2.9337446247141541,25.812262371500001,2.9331663178152372,-0.018459697903014036,0.015892601142354277
5.3207999999999993,-0.89723930626695103,4.6356737902933967,6.7952097962101323,-0.042490700968502736,26.189584087481865,2.9344104165048597,25.823996370613145,2.9338331457873181,-0.018440640425056758,0.015866987201996433
5.3219999999999992,-0.89729028254206766,4.6384264286368868,6.7974064516995432,-0.042470711209302119,26.20132305976751,2.9350762103993442,25.835733037036533,2.9344999733637049,-0.018421613660294031,0.015841421264985341
5.3231999999999999,-0.89734123484141992,4.6411798034342819,6.7996034652161246,-0.04245074005167801,26.213064695234578,2.93574200639164,25.847472370768561,2.9351668005454061,-0.018402617551447887,0.01581590325105189
5.3243999999999998,-0.89739216318742721,4.6439339146784882,6.8018008367581837,-0.042430787466101481,26.224808993891628,2.9364078044757926,25.859214371807596,2.9358336273334209,-0.01838365204134455,0.015790433080028889
5.3255999999999997,-0.89744306760247661,4.6466887623624267,6.8039985663240117,-0.04241085342309877,26.236555955747207,2.9370736046458625,25.870959040152052,2.9365004537287467,-0.01836471707291434,0.015765010671851386
5.3267999999999995,-0.89749394810892369,4.6494443464790303,6.8061966539118863,-0.042390937893258443,26.248305580809841,2.9377394068959295,25.882706375800311,2.9371672797323702,-0.018345812589191695,0.015739635946557147
5.3279999999999994,-0.89754480472909071,4.6522006670212397,6.8083950995200722,-0.042371040847221486,26.260057869088048,2.9384052112200796,25.894456378750792,2.937834105345277,-0.018326938533315143,0.015714308824287086
5.3291999999999993,-0.89759563748526849,4.6549577239820126,6.8105939031468186,-0.042351162255688454,26.271812820590316,2.9390710176124211,25.906209049001884,2.938500930568444,-0.01830809484852727,0.015689029225285703
5.3303999999999991,-0.89764644639971614,4.6577155173543128,6.8127930647903598,-0.042331302089416135,26.283570435325117,2.9397368260670751,25.917964386552001,2.9391677554028437,-0.018289281478174716,0.015663797069901494
